Utheta:0,Utheta:1,Utheta:2,theta,arc_length
0.000265498,0,0,0.936635,0.01275
0.000265489,0,0,0.936549,0.0128
0.000265479,0,0,0.936463,0.01285
0.00026547,0,0,0.936375,0.0129
0.000265461,0,0,0.936288,0.01295
0.000265451,0,0,0.9362,0.013
0.000265441,0,0,0.93611,0.01305
0.000265432,0,0,0.936021,0.0131
0.000265422,0,0,0.935931,0.01315
0.000265412,0,0,0.93584,0.0132
0.000265402,0,0,0.935749,0.01325
0.000265392,0,0,0.935657,0.0133
0.000265381,0,0,0.935564,0.01335
0.000265371,0,0,0.935471,0.0134
0.00026536,0,0,0.935377,0.01345
0.00026535,0,0,0.935282,0.0135
0.000265339,0,0,0.935187,0.01355
0.000265328,0,0,0.935091,0.0136
0.000265317,0,0,0.934996,0.01365
0.000265306,0,0,0.934898,0.0137
0.000265295,0,0,0.934801,0.01375
0.000265284,0,0,0.934702,0.0138
0.000265273,0,0,0.934603,0.01385
0.000265261,0,0,0.934504,0.0139
0.000265249,0,0,0.934403,0.01395
0.000265238,0,0,0.934303,0.014
0.000265225,0,0,0.934201,0.01405
0.000265213,0,0,0.934098,0.0141
0.000265201,0,0,0.933995,0.01415
0.000265189,0,0,0.933892,0.0142
0.000265177,0,0,0.933787,0.01425
0.000265164,0,0,0.933683,0.0143
0.000265151,0,0,0.933577,0.01435
0.000265139,0,0,0.93347,0.0144
0.000265126,0,0,0.933363,0.01445
0.000265113,0,0,0.933256,0.0145
0.0002651,0,0,0.933147,0.01455
0.000265086,0,0,0.933038,0.0146
0.000265073,0,0,0.932929,0.01465
0.00026506,0,0,0.932818,0.0147
0.000265046,0,0,0.932707,0.01475
0.000265033,0,0,0.932595,0.0148
0.000265018,0,0,0.932482,0.01485
0.000265005,0,0,0.932369,0.0149
0.00026499,0,0,0.932256,0.01495
0.000264975,0,0,0.93214,0.015
0.000264962,0,0,0.932024,0.01505
0.000264946,0,0,0.931908,0.0151
0.000264933,0,0,0.931791,0.01515
0.000264918,0,0,0.931674,0.0152
0.000264902,0,0,0.931556,0.01525
0.000264887,0,0,0.931436,0.0153
0.000264872,0,0,0.931316,0.01535
0.000264856,0,0,0.931196,0.0154
0.00026484,0,0,0.931075,0.01545
0.000264824,0,0,0.930952,0.0155
0.000264809,0,0,0.93083,0.01555
0.000264792,0,0,0.930705,0.0156
0.000264777,0,0,0.930582,0.01565
0.000264761,0,0,0.930456,0.0157
0.000264744,0,0,0.93033,0.01575
0.000264727,0,0,0.930203,0.0158
0.000264711,0,0,0.930076,0.01585
0.000264694,0,0,0.929947,0.0159
0.000264676,0,0,0.929818,0.01595
0.000264659,0,0,0.929688,0.016
0.000264641,0,0,0.929558,0.01605
0.000264624,0,0,0.929426,0.0161
0.000264606,0,0,0.929294,0.01615
0.000264588,0,0,0.92916,0.0162
0.00026457,0,0,0.929026,0.01625
0.000264551,0,0,0.928892,0.0163
0.000264533,0,0,0.928756,0.01635
0.000264514,0,0,0.92862,0.0164
0.000264496,0,0,0.928483,0.01645
0.000264477,0,0,0.928345,0.0165
0.000264458,0,0,0.928206,0.01655
0.000264438,0,0,0.928067,0.0166
0.000264419,0,0,0.927926,0.01665
0.000264399,0,0,0.927785,0.0167
0.000264379,0,0,0.927642,0.01675
0.000264359,0,0,0.9275,0.0168
0.000264339,0,0,0.927356,0.01685
0.000264319,0,0,0.927211,0.0169
0.000264298,0,0,0.927065,0.01695
0.000264278,0,0,0.926919,0.017
0.000264257,0,0,0.926772,0.01705
0.000264236,0,0,0.926623,0.0171
0.000264214,0,0,0.926474,0.01715
0.000264193,0,0,0.926324,0.0172
0.000264171,0,0,0.926173,0.01725
0.00026415,0,0,0.926022,0.0173
0.000264128,0,0,0.925869,0.01735
0.000264105,0,0,0.925716,0.0174
0.000264083,0,0,0.92556,0.01745
0.00026406,0,0,0.925406,0.0175
0.000264037,0,0,0.92525,0.01755
0.000264014,0,0,0.925092,0.0176
0.000263991,0,0,0.924934,0.01765
0.000263967,0,0,0.924775,0.0177
0.000263944,0,0,0.924615,0.01775
0.00026392,0,0,0.924454,0.0178
0.000263896,0,0,0.924292,0.01785
0.000263872,0,0,0.924129,0.0179
0.000263847,0,0,0.923966,0.01795
0.000263822,0,0,0.9238,0.018
0.000263797,0,0,0.923635,0.01805
0.000263772,0,0,0.923468,0.0181
0.000263747,0,0,0.923301,0.01815
0.000263722,0,0,0.923133,0.0182
0.000263696,0,0,0.922963,0.01825
0.00026367,0,0,0.922793,0.0183
0.000263644,0,0,0.922621,0.01835
0.000263617,0,0,0.922449,0.0184
0.000263591,0,0,0.922276,0.01845
0.000263564,0,0,0.922101,0.0185
0.000263536,0,0,0.921926,0.01855
0.00026351,0,0,0.921749,0.0186
0.000263482,0,0,0.921571,0.01865
0.000263454,0,0,0.921393,0.0187
0.000263426,0,0,0.921213,0.01875
0.000263398,0,0,0.921033,0.0188
0.000263369,0,0,0.920851,0.01885
0.000263341,0,0,0.920668,0.0189
0.000263312,0,0,0.920485,0.01895
0.000263282,0,0,0.9203,0.019
0.000263253,0,0,0.920115,0.01905
0.000263223,0,0,0.919928,0.0191
0.000263193,0,0,0.91974,0.01915
0.000263163,0,0,0.919551,0.0192
0.000263133,0,0,0.919361,0.01925
0.000263102,0,0,0.91917,0.0193
0.000263071,0,0,0.918978,0.01935
0.00026304,0,0,0.918784,0.0194
0.000263008,0,0,0.91859,0.01945
0.000262977,0,0,0.918395,0.0195
0.000262944,0,0,0.918198,0.01955
0.000262912,0,0,0.918001,0.0196
0.00026288,0,0,0.917802,0.01965
0.000262847,0,0,0.917602,0.0197
0.000262814,0,0,0.917401,0.01975
0.00026278,0,0,0.917199,0.0198
0.000262747,0,0,0.916996,0.01985
0.000262713,0,0,0.916791,0.0199
0.000262679,0,0,0.916586,0.01995
0.000262644,0,0,0.916379,0.02
0.00026261,0,0,0.916171,0.02005
0.000262574,0,0,0.915962,0.0201
